speciesID,scientificNameID,class,order,family,genus,scientificName,currentScientificNameCode,currentScientificName,taxonRank,scientificNameAuthorship,primaryGrowthForm,secondaryGrowthForms
2413,2413,Flora,Flora,Najadaceae,Najas,Najas marina,4299,Najas marina,Species,L.,Forb,NA
2414,2414,Flora,Flora,Oleaceae,Jasminum,Jasminum singuliflorum,7718,Jasminum dallachii,Species,F.Muell.,NA,NA
2415,2415,Flora,Flora,Oleaceae,Jasminum,Jasminum suavissimum,4310,Jasminum suavissimum,Species,Lindl.,Vine,Forb
2416,2416,Flora,Flora,Portulacaceae,Calandrinia,Calandrinia granulifera,5312,Calandrinia granulifera,Species,Benth.,Forb,NA
2417,2417,Flora,Flora,Plantaginaceae,Veronica,Derwentia derwentiana subsp. maideniana,13396,Veronica derwentiana subsp. maideniana,Subspecies,(Gand.) B.G.Briggs & Ehrend.,NA,NA
2418,2418,Flora,Flora,Campanulaceae,Lobelia,Pratia purpurascens,14415,Lobelia purpurascens,Species,R.Br.,Forb,NA
2419,2419,Flora,Flora,Erythroxylaceae,Erythroxylum,Erythroxylum australe,2671,Erythroxylum australe,Species,F.Muell.,Shrub,NA
2420,2420,Flora,Flora,Ulmaceae,Celtis,Celtis paniculata,6222,Celtis paniculata,Species,(Endl.) Planch.,Tree,NA
2421,2421,Flora,Flora,Phrymaceae,Mimulus,Mimulus gracilis,5982,Mimulus gracilis,Species,R.Br.,Forb,NA
2422,2422,Flora,Flora,Solanaceae,Solanum,Solanum ferocissimum,6082,Solanum ferocissimum,Species,Lindl.,Shrub,NA
2423,2423,Flora,Flora,Fabaceae (Caesalpinioideae),Senna,Cassia nemophila var. zygophylla,8494,Senna artemisioides subsp. zygophylla,Subspecies,(Benth.) Randell,NA,NA
2424,2424,Flora,Flora,Orchidaceae,Chiloglottis,Chiloglottis sylvestris,6881,Chiloglottis sylvestris,Species,D.L.Jones & M.A.Clem.,Forb,NA
2425,2425,Flora,Flora,Lomandraceae,Lomandra,Lomandra spicata,6314,Lomandra spicata,Species,A.T.Lee,Rush,NA
2426,2426,Flora,Flora,Elaeocarpaceae,Tetratheca,Tetratheca rupicola,6211,Tetratheca rupicola,Species,Joy Thomps.,Shrub,NA
